name,comments
Chocolate Banana Muffins,"[""          Loved this recipe.  I've made it several times, my family loves them. "", '          I made as per recipe and they were very dry. ', '           I thought it was really good, I used a mix of milk and white chocolate chips. I can’t really taste the bananas, but it was still really good. ', '          So moist and chocolatey. Have made it over and over. ', '          Amazing 🤩 ', '          I followed the recipe almost to the letter and it was perfect! The only change I made was adding 1/3 cup of regular size chocolate chips instead of mini chips. My husband and kids loved it. I might add some chopped nuts to the top next time I make these. Thank you for sharing! ', ""          Made the recipe as written. Can't think of single thing I would change!Lovely chocolate flavor, but it didn't hide the banana flavor. Perfectly balanced. Thank you for a delicious, easy and fast recipe to use up overripe bananas! "", ""          I used this recipe in my mini donut maker and added some vanilla glaze once I was done. I thought they were really good. The banana flavor didn't stand out a lot but I could still taste it. "", '          hi guys love this recipe. made cake instead of muffins. turned out perfectly ']"
Vegan Banana Muffins,"['          My husband loves these.  They are easy to make.  Thank you for sharing this recipe. (Aloha from Hawaii.) ', ""          I made this recipe using some modifications based on the comments and what I had on hand / my preferences. With my changes, it really is  a different recipe, but the original recipe was great as a base and helped me to create delicious muffins without butter (which was the goal - I'm completely out!).-subbed canola oil for 1/2 cup unsweetened apple sauce and 1/2 cup melted coconut oil-cut white sugar down to 1/2 cup-subbed coconut milk for oat milk-added chocolate chips (to only half the batter)-omitted cinnamon and nutmegThe muffins rose beautifully and were plenty sweet without the extra sugar (even those without chocolate chips!). I ended up with 12 regular sized muffins and 24 mini muffins. I baked them for about 25 minutes and they were perfect. "", ""          I have been making these muffins for a year now. They are absolutely the BEST banana bread recipe I have ever tried! I don't measure the bananas- usually have about 5 on hand to use, I use the refrigerated coconut milk (not sure if that makes any difference), and I add a couple of handfuls of chopped nuts. It usually makes 2 dozen muffins. When I take them places, I am asked for the recipe! You can also make mini muffins (great for baby showers, etc.)- cook for 18 minutes. Thank you for a fabulous recipe! "", '          So, so good! I did 1 cup total sugar (1/2 white, 1/2 brown), used 3 bananas and subbed the oil for unsweetened applesauce. Also added chopped walnuts. Delish!!! Made about 18 muffins. ', '          New family favorite. I reduced the white sugar to 1/2 cup. ', ""          This is a great base recipe, but as others have said it has WAY too much sugar and oil. I used half a cup of rapadura sugar and a teaspoon of stevia, and substituted half a cup of sunflower oil and half a cup of whatever non-dairy milk I had and and they were plenty sweet and moist enough. I also add things like rhubarb, or carob nibs or walnuts.On the issue of bone char, sugar isn't refined this way in Australia so we have no issue regarding whether sugar is vegan or not. I "", '          I did what one other reviewer did and replaced the canola oil with 1/2 cup applesauce and 1/2 cup coconut oil. if you do this be sure to melt the oil after you measure it was pretty hard to stir. also ran out of brown sugar so i added about 1tbsp molasses to 1/2 cup white sugar. they took about 26 minutes to bake and i ended up with 20 perfectly baked muffins. ', '          The muffins came out beautiful and delicious!I exchanged the coconut milk for soy milk and put in a cup of chocolate chips ', '          Easy peasy, always a winner ']"
Pineapple and Banana Smoothie,"['          Great recipe! It is delicious. I have had it in the morning as a regular smoothie and have also added vanilla vodka to it for an evening cocktail. ', '          really good!, i dont know if this is bad, but i did put some homeade iced foam into it, the two mixed together kind of clash, but the smoothie itself is amazing!!! ', '          Only different thing I did was add coconut water ( my pineapples were already in the jar with it ). Super easy, great taste. Thank You ', '          This is scrumptious! However, it has far too much sugar for my low sugar diet. ', ""          Couldn't be any easier! Delish! "", '          This was awesome I will definitely try this again! I had BLTs for dinner and this smoothie it was awesome! ', ""          I think this is an ok recipe. I didn't hate it but I didn't think it was super wow. This is good for helping with weight loss if needed. "", '          Very refreshing on a hot, summer day! ', '          It was great! A good way to use up pineapple. very different from the usual strawberry and banana smoothie. ']"
Sarah's Banana Bread Muffins,"['           Good recipe! This was my first time making muffins. I did make a few changes for personal preference: 2/3 cup sugar, 1/2 tsp vanilla extract, and a bit of cinnamon, plus some chocolate chips. It is the perfect pastry 🥧 ', '          It was amazing! I added an extra banana and a half and pecans instead of walnuts [allergies], and me and my family loved them  5 stars. ', '           Loved it! However, I added some things based on the little flavor that seemed to exist in the original recipe… 1/4 teaspoon each of ginger, cinnamon, nutmeg, and cloves. Also about 1/4 teaspoon of vanilla extract. Dusted the top with cinnamon, nutmeg, and powdered sugar. ', '           I half the sugar with brown sugar and watch the time I think it took 15-16 mins but were very tasty and also did the coconut ', '          This is exactly the recipe I was looking for, thanks!I made a couple of adaptations:• I used  only 1/2 the sugar (as I always do)• I added 1/2 cup mini chocolate chips• I also added 1/4 cup chia seeds, but that only added nutrition, not texture or flavor ', '          THIS RECIPE WAS AMAZINGGG ', '          Quick and easy. I modified by using gluten free baking flour and also added 1/4 tsp vanilla. Delicious! ', '          I followed this recipe to the letter and it turned out so well. Every muffin was the same size and color! The taste was exactly like eating a slice of banana bread. ', '          I did add a bit of vanilla and some 1 teaspoon of cinnamon. No walnuts. Made smaller cup cake size, cook time was 350 for 23 minutes, probably could have been 20. ']"
Air Fryer Roasted Bananas,"[""           The best tanks to the best air fryer I've ever wanted. Was never a big fan of air fryers. Until today's times and she's. "", ""          I want to alter my comments of earlier. I did have a fire in my kitchen. The lesson is to not have the parchment paper in the air fryer as it's preheating and only use it to cover the bottom. "", '          These taste really good!! I added a pinch of pink himalayan salt to bring out the sweetness and cooked mine a little longer than 10 minutes. ', ""          Parchment paper didn't stay put in the air fryer and kept the banana from browning. Amost burned the paper. The banana ended up sticky and gooey "", '          Second time I made it I removed the parchment paper. I liked it much better without. ', ""          Worked out as expected.  It's all in the spice and that's up to you.  Have fun and thanks for all your precious time!!! "", '          I personally give it three stars, but my two teenage kids and wife all give it five stars. I did not have avocado oil, so I just used canola oil ', '          Tastes awesome. I used ripe plantains to serve as a side dish.  With bananas I like to sprinkle a dust of cinnamon and it makes a great dessert with vanilla ice cream. ', '           I made these again today but I cut them 1/2"" thick and air fried them for 8 minutes at 375 degrees. I flipped them over and cooked them 3 minutes more. I prefer these thicker slices over the thinner ones. ']"
Banana Chocolate Chip Cookies,"['          IThe cookies were very good. I used gluten free flour and they were delicious ', '          These cookies are amazing! They taste so amazing with the banana and chocolate mix. Super easy to make and great for any season, occasion or a just because I want to bake! ', '           This is my second batch everyone loves em. ', ""          This recipe was perfect! Unfortunately, I didn't have any chocolate chips but as a substitute folded in some walnuts. Made this recipe both ways so far and tasted just as good 👍 "", '           I did not read the reviews 1st (silly me) i did preheat my oven to 400⁰ which I felt was wayyy to high, so i overcooked 1st batch, so i than decided tobputy 2nd batch in 2 minutes less still I found still a bit over cooked not as bad as the 1st batch, so 3rd and 4th batch are now in the oven at 350⁰ for 12 minutes. 👌 ', '           I like the chewiness of this cookie! ', ""          Halved the baking powder/soda, put 4 bananas instead of 3 because it was about to be thrown away and baked at 180 celsius. These small changes should not have resulted in gummy cookies but that's exactly what happened and it was terrible. I like toffee-like cookies, not the risen, gummy type. "", ""          I did what other reviews suggested and added only 1 teaspoon of baking powder and used half brown sugar and half white sugar.  When hot, these have a more pronounced banana taste, which mellows as they cool.  However, they became moist in my cookie tin and were unpleasant because of that.  I won't be making these again. "", ""          Someone said 400 degrees was too hot for a cookie so I thought about it while I was creaming my butter. Off the top of my head i thought about Russian tea cakes/Mexican wedding cookies that cook at 400 although I think off the top of my head it's only 9 minutes. I only went through a few reviews and didn't see others having a problem with it so I decided to go with the 400. It worked out fine! Also, I used a silicone baking mat instead of greasing the pan. I also love a variety of different kinds of cookies from shortbread to chocolate crinkle (like a brownie) so a cake like cookie is fine with me but I'm glad i was warned. It is very cake like. I think it would be a great cookie to serve at a family brunch. ""]"
Best Yet Banana Mini Muffins,"['          Very delicious  made half with a little cinnamon sugar on top, the other half with some mini chocolate chips.  I use a small ice cream scoop to fill the muffin tins. 😊  Thanks ', '          Classic recipe.  Consistent every time. I sometimes substitute 1/2 cup whole wheat flour (with 1 c regular) and always add 1/2 c frozen blueberries or 1/2 c chocolate chips. ', '          Easy and quick, they came out soft and moist.  Toothpick was clean at 12:00 so I pulled them.  Came out great.  I used a piping bag for filling the pan. ', '          These are so yummy thanks for the great recipe! I followed it exact except I only used two bananas instead because it’s all I had! It made 24 mini muffins but I think my mini muffin pan was a little bigger maybe? and I filled them too full but all turned out perfect in the end :) ', '          My go to recipe. I added the 1/4 c. Whipped cream, 1tsp of vanilla, 1tsp of nutmeg and chocolate chips - ', '          So tasty! ', '          I cut this recipe in half, added blueberries, heavy whipping cream, vanilla extract and separated about about 3 tsps of sugar out and used it to top the muffins before popping them in the muffin.  I baked them for 13 minutes and they were perfect done.  I’m giving this recipe 4 starts since I think the addition of cinnamon and nutmeg would have been welcomed to add a little complexity.  I plan to serve this with a little cinnamon and sugar butter on the side. ', '          I am enjoying my muffins! This recipe is now in my favorites. ', '          I love this recipe so easy and simple they came out great ! I added some Cinnamon Sugar to the ingredients and sprinkled some on top along with some crushed walnuts ! Delicious ']"
Homemade Banana Pudding,"['          I agree with other posters about not using while eggs.  I used 3 yolks only, beat them and then tempered with thickened liquid, and added back slowly while whisking.  Perfection ', '          Very easy, and simple to make. Pretty good! ', '          The best. Taste like grammas old fashioned banana pudding. ', ""           The pudding was amazing! I used castor sugar by accident, and my pudding didn't quite thicken up properly so maybe that had something to do with it. But it was delicious all the same! It was a bit like a trifle with bananas and custard; very good. "", '          Awesome recipe! First time making homemade pudding! Used only egg yolks and it turned out perfect! ', '           What a great recipe! I only used the yolks and saved the whites for meringue. I also used half and half instead of milk. Thick and smooth! ', '          Easy to make Grand kids loved  it ', '          Great I added a meringue topping and it disappeared in seconds. ', '           My family loves this recipe also ! Thanks Sara ']"
Banana Pumpkin Bread,"['          This recipe is a great start due to the spice balance.  A few people complained about it not baking properly.  I believe there is too much liquid.  I heeded to the warnings, and I used only 1 cup of pumpkin and brown sugar instead of honey.  It came out great after baking on 400 for 10 minutes, then reducing to 350 for 45 min. ', '          I only had 3 very ripe never frozen bananas and a supply of fresh pumpkin that never runs out. I am constantly trying new recipes to enjoy my pumpkins with and have been trying to find and get what I got here tonight when I slightly modified this recipe by substituting honey with Lakanto Maple Flavored Syrup, and vegetable oil with margarine. Added ginger, nutmeg, cinnamon, just a touch of all spice. Doubled the batch one banana shy and cooked in a few different size pans. I just ate half of the smallest one, I have finally after years found and obtained the  outcome I was looking for! ', '          I think vanilla should have been added to pull more flavor out. I agree with others that cook time is off. I think I had it in and out of oven for about an hour and a half. ', ""          Inside is raw and outside is burnt. This makes so much batter I have no idea how they can say to use one loaf pan. I think if decided into 2 it might cook properly... the flavor is pretty bla also although I don't info that it's not super sweet. Anyway, skip this one don't waste your ubf z "", ""          I LOVE this recipe. It's a household staple.I use white wheat, do not add dried fruit or nuts inside the bread, and sprinkle the top with pumpkin seeds and brown sugar. "", ""          Good flavor.  I used vanilla yogurt instead of oil, only one egg, and three bananas.  I'll make this one again! "", '          came out nice! i was just using this recipe as a base. didnt add raisins or walnuts. added a tsp of vanilla, more cinnamon, used almond flour and monkfruit sweetener instead of honey and regular sugar. very good! ', ""          Very nice recipe.  I followed the advice to lower temp to 325 and baked for about 65 minutes total.  I didn't have allspice, so used nutmeg and cardamom instead.  Very moist! "", ""          The cook time or something in the recipie is definitely off. I'd read reviews so tried to proactively adjust time and eventually heat but after an hour and a half the top of the bread is burnt while the inside is still gooey. The bread is very dense on the edges where it's actually cooked and it doesn't have a lot of flavor. I added a little cream cheese frosting to the top of the bread that was cooked which added a nice flavor. Overall I'm not a fan I'd recommend using a different recipie. ""]"
Banana Bread - Quick Bread for Machines,"['           Dry, my machine doesn’t have the option to stop. It didn’t bake all the way on the light crust setting, had to put it in the oven for 20 more minutes at 350. I’ll make french toast with it. ', '          A bit dry, not a typical bread loaf. More of a dry cake. Had to add half cup flour as mixture is gooey. ', '           Dry…. Not a good recipe ', '          Brilliant and simple this is my first attempt but I will deffo do again. Next time I will pre mash the banana before adding ', '           Cake with a crust. I forgot to consider how sweet americans make everything! As is, not suitable for the old Sunbeam Cool Touch Bakehouse bread-maker. After the recommended 5min mixing I had to scrape around the pan to pull in dry ingredients. My very soft bananas didn\'t break up sufficiently so I have gooey banana voids throughout the ""bread"" that look very unappealing. Edible though... with enough butter or maybe cream cheese to cut some of the sweetness. ', '           Thanks for this. It was super easy. I cooked for an extra ten but probably only needed an extra 5. Much easier to cook than the one I do in the oven which never seems to bake consistently. Looks lovely too. ', '          Added walnuts ', '          It was a hit!I did have to cook it a little longer. I added 20 minutes and t came out perfectly ', '          Easy to follow plus I added chocolate chips as well! ']"
Banana Fritters,"[""          All in all it was good easy recipe to follow they came out pretty good my kids like them my grandkids liked them and I would have taken a picture of them except that the kids had him before I could take a picture of them LOL anyways it's a good recipe it's easy so that's my take on it thank you "", '          Was very densed maybe my baking powder lost its strength or maybe the temperature here in the Caribbean ', '           The fritters had a good flavor. I ran into the same problem as some other viewers with the insides being under cooked. I will definitely make again. ', '          A good base recipe. I substituted 2 tablespoons of sour cream for the melted margarine and added an extra banana (would probably add 2 if I made again) 1/3 cup of brown sugar, 1 1/2 teaspoons of cinnamon, and 1/4 teaspoon each of ground cloves, ginger, and nutmeg. Glazed with 1 cup of powdered sugar mixed with about a tablespoon of milk to get the right consistency and 1/2 teaspoon of vanilla extract. Lots of flavor to complement the banana. ', ""          It was ok, nothing too exciting.  Just banana pancakes.  Probably won't make this again. "", ""          I read the reviews before trying this recipe. I wanted to do something with my over ripened bananas other than banana nut bread.  I followed the directions, and made the suggestion from the reviews and used four bananas. I cooked them different ways, deep fried, pancakes, pan fried in a little oil, and baked. They taste good but no matter how I cooked them, they were not appealing to the eye. I won't usr this recipe again. "", '          Very easy recipe to pull together if you have some bananas ready!  I used vegetable oil as an egg substitute and they turned out fine. (Photo is pre-sugar added ', '          The came out well, but the only thing I can recommend with this recipe is, substitute the flour for pancake mix.  Everyone loved them.  Sprinkled powdered sugar on top. ', '          I add one cup cake flour sifted and one beaten egg. 3 tablespoons sugar. 1/2 cup sparkling soda. And a little more to get thin not so thick batter. Dash of salt. Baking powder as mentioned.  Not any milk. 2 tablespoon melted butter. Cut each banana into thirds. Roll in cornstarch then batter and fry. Coat after with sifted powder sugar. Delicious. Heat up oil while mixing everything ']"
Blueberry Banana Bread,"['          I liked it, added about a teaspoon and a half of cinnamon. ', '           The recipe for blueberry banana bread is amazingly delicious.Definitely will make again! . ', '           Added walnuts and cooked two minis and one small loaf pan. Minis were 40 minutes and loaf was 45 minutes. I think a half to one teaspoon of baking powder would be a good addition. ', '          It was very good, I did have to bake it longer ', ""          The bread came out fluffy and moist! I tried it for the first time and it's excellent! I did somehow made these changes:1. 1 cup AP flour + 1 cup oat flour instead of  2 cups of AP flour.2. 1/2 cup of brown sugar + 1/4 cup of white sugar instead of 1 full cup of white sugar (still it came out very sweet so I suggested to reduce it even more.3. Added 1 spoon of whole fat milk4. Buttered 2 regular aluminum baking foil pans and dusted brown sugar + cinnamon powder at the bottom and at the top of the bread (highly recommended!)5. Coated the blueberries with flour so that it won't sink6. Added chopped walnuts for some crunch and 1 medium banana slices for topping decoration7. It definitely took over 45 minutes to bake it, I guess every oven is different. "", '          great bread! ', '           Followed recipe, except I only had frozen blueberries, which I thawed and rinsed. Used an 8 loaf mini pan and baked for 30 minutes. Perfection. ', '          I made this GF using 1 on 1 King Arthur flour. It turned out well, but I had to cook it longer -- about 12 minutes. ', ""           Very easy to bake! It turned out very fluffy and light, if that's what you want. I halfed the recipe and cooked it for 25 minutes (cook 30 to 35 since I like it a bit raw) and it turned out perfect! I added my own chocolate chips and it tasted fantastic! I will be making this again! :D ""]"
Almost No Fat Banana Bread,"['          Being relatively new to low-fat cooking, I was pleasantly surprised with the outcome for this recipe. ', ""          4.5 if I could becuase Like others said it has a little rubbery texture but still tastes great! I added 1/2 teaspoon of salt, and a teaspoon of vanilla. Alsoi sprinkled brown sugar and cinnamon on top for a nice sweet crust. My kids loved it which is a plus. They added whipped cream on top. I am always looking for low to no fat recipes becuase I have gallstones and can't have fat. "", ""          I really enjoy Banana Bread but sometimes they can be heavy and full of yummy calories.  I love this recipe and will make it again. I used 1/2 cup of sugar, added nutmeg and cinnamon (just a dash) I added salt as well along with vanilla and Almond Extract.  Disappointedly I didn't have walnuts but used pecans instead.  It was/is delicious!  I LOVE THIS RECIPE!Tip: Don't overmix the wet ingredients that will make your crust rubbery. "", '           It turned out great! I added 1/2 tsp salt and 1 tsp vanilla. I  mixed the dry ingredients separately from the wet ingredients then stirred them together just until combined to keep the bread from being tough. ', '          I used the Splenda brown sugar baking blend instead of regular white sugar, and added a splash of vanilla extract. It came out delicious, with way less carbs and essentially no fat. My 8 year old even begged me to make it again the next day! ', '          This recipe is amazing as-is!! I was overwhelmed with all the adjustments people made in the reviews so I just trusted the recipe and it was delicious. ', '          Since my bananas were very ripe, I omitted the sugar entirely. I also only used one whole egg rather than two egg whites. I used my baked donut pan to make 12 baked items. These are great popped into the toaster on a low setting to get them warm for a breakfast item with my coffee in the morning. Even with the addition of a 1/4 cup of dark chocolate chips to the recipe, the calorie content for each donut is 106. ', '           The best banana bread!!!  We loved it and so did our (socially distanced) friends!  I doubled everything, used two whole eggs instead of egg whites, and added walnuts, sunflower seeds, and sugar-free chocolate chips. I also used a mixture of 50/50 brown sugar and Splenda.? ', ""          I made it with the changes people suggested.  I baked it for about 1hr 15 minutes. It's a very moist loaf. I thought 1/2 c sugar was still too sweet. ""]"
Banana Chocolate Chip Cake,"['          I can confirm this cake is super tasty, moist and the recipe is very easy to make the only thing I will change is to put less sugar as found it too sweet for my liking but apart from that I highly recommend it ', ""          Agree w/mominml.  Mine does not look like the primary photo.  Not cake like at all.  A dense cookie bar.  Not what I had in mind, but not inedible.  I won't make it again.  Appreciate the suggested changes by others but too much of a hassle to keep track of the tweaks and don't know how to amend the recipe were I to keep it in my collection (which I won't as is). "", ""          This was an easy to throw together cake that tasted great. I read several of the reviews and made the following changes: baked in a 9 in cake round, 2 large bananas, used baking soda instead of powder, cooked for 25 mins and added a touch of cinnamon. Next time, I think I'll try with the baking powder just to see what the difference is but still a make again recipe. "", ""           The recipe is great and is definately maulable.I used baking soda instead of powder (about 3/4 of a tsp), and I've made it as a sheet pan cake, a bread loaf and today I made it as muffins, just be sure to adjust baking times and temps as needed. If you're making a loaf, you might need to decrease the temp, and/or bake it longer. I've added nuts on the top too and it makes it taste so wonderful! "", '          These are definitely more like thicker bars, than a cake. Based on other reviews, I did increase the sugar to 1 cup and added 1 teaspoon of vanilla. Topped with cream cheese frosting. They were excellent! ', '          Very good, used 1 1/2 tsp of baking soda + 1 tsp of vanilla, 3 bananas. ', '          Loved this recipe!! It was easy to follow and it was mouthwatering!! My kitchen smelled Devine!! I made mine in muffin tins though because it makes it easier to give out!! Thanks again!! ', '          It was really good. I put some more chocolate in it but it still turned out to be very good. ', '           look nice very easy to make ']"
Hearty Breakfast Muffins,"['          I followed the recipe exactly as shown, but substituted honey for the brown sugar. Mine turned out delicious. I baked them for 18 minutes. ', '          Loved these muffins!! I used walnuts instead, used cranberries, left out coconut and ginger-might try the ginger next time. These tasted great and will definitely make again/often 😊 ', '          Taste even better the next day!!! ', ""           Excellent banana bread base recipe. So my fave bb of all time is Moosewood Cookbook's but their secret ingredient is coffee & my toddler doesn't need that😹Modifications:No zucchini, nuts, dried fruit (yes to coconut tho)3 eggs (I almost always add an extra egg- recommended!)Creamy df milk (instead of yogurt, forgot to buy)Melted butter (instead of oil)Added a little baking powder (they rise nicely!)Forgot to add vanilla, def will for next time!Made some minis and some regular. Baked 10 min then rotated for another 10 min.My kid loves them!🙏🏼🙏🏼🙏🏼Will freeze a bunch so he has snacks for the week. Thanks for this gem. 💎Excited to play with this recipe now! "", ""          I have made this recipe dozens and dozens of times - and (almost) never as listed. But I give it 5 stars because it gives you the structure to make healthy muffins your own way.The modifications I use include:*Substitute almond flour for the wheat flour (anyone who's diabetic will appreciate the lower carbs and increased protein and fiber);*Eliminate the sugar; in many cases, this is simply not necessary - if you put any type of fruit in it at all there is already plenty of sweetness*I use what I have on hand and need to use up. I have found the veg/banana at the beginning is approximately 2 cups of 'wet' ingredients and accounted for that accordingly.*Always keep the wet/dry ingredient ratio no matter what. Always include the salt, baking soda, and eggs in exact proportion. "", '          Didn’t use any dried fruit or coconut, instead added dark chocolate chips and fresh raspberries. These muffins are my favourite and they freeze great! ', '          I was looking for a recipe that called for wheat flour.  This one is better than I thought it would be.  I change cherry with cranberry.  I will be making this recipe again and again. ', '          Super moist!!! Love the flexible ingredients-used what I had available; enjoyed topped w/ cream cheese (Mascarpone) and Nutella. ', ""          Great recipe that can easily be modified. I cut back on the zuchinni and added crushed pineapple (yum!). Delicious!  Next time I may cut back on the soda and salt as I found they tasted a little salty.  But I don't use much salt, so that may be the reason. ""]"
Bob's Stuffed Banana Peppers,"['          Very flavorful & easy to put together. A keeper. ', '          Absolutely delicious! Very easy to make and I’m no cook. You don’t need the celery. Also, if the peppers are kind of soft you don’t need to boil them. We like a little bit of crunch in our peppers. I covered mine with shredded mozzarella with about two minutes left to bake. Perfection. ', '          This is the best recipe for stuffed peppers. I make it every year. You can double the amount of peppers used because  this recipe makes a lot of stuffing mix. Enjoy! ', '          Really amazing! Thank you for sharing the recipe. ', '          4 1/2 stars.  I only made 1/2 of the recipe as so many reviewers reported too much filling.  This worked out to fill 8 banana peppers and 1/2 of a large bell pepper which was just right.  There is no need to par boil the peppers, this is in the oven for 60 min. and the peppers are thoroughly cooked during this time.  I made a few changes; reduced the amount of bread crumbs by 1/2 and because I was afraid of them being too hot, I used mild sausage which was just right for us (and we love hot/spicy food).  Also used tomatoes from my garden for the ""crushed"", and tomato sauce for the paste.  It worked out nicely.  I plated the peppers on top of orzo pasta.  We enjoyed this recipe and will make it again. ', '          I wish I read reviews I also had double the amount of sausage needed.  Now I find myself trying to find something to cook with the 1 pound of extra hot and sweet sausage mixed with egg, bread crumb and cheese ', '          I too have made this with slight alterations.  As for the extra  filler, I made them into meatballs and added them to the pan, they turned out just fine. ', '          Took me much longer than 30 minutes to put this together, but it was worth it. This recipe is a keeper! ', '          This recipe is fantastic but be CAREFUL with adding the salt. I followed the recipe to the letter, adding 2 1/2 tsp salt without tasting to see if it needed it. It turned out that my cheese, sausages and jarred tomato sauce already provided significant salt, so adding more made my peppers CRAZY SALTY. Even so, my husband loved these and immediately wanted me to make the recipe again for lunch for his employees. I left the added salt out completely for the second batch and it was AMAZING.  I used Cubanelle peppers which are larger and sweeter than banana peppers. They worked great. Parboiling was no big deal to me while I prepped the stuffing. I did like how it made the peppers nice and soft and easy to stuff really full. ']"
Easy Kids' Recipe for Fluffy Banana Cookies,"['           Good starter recipe for muffin top cookies. A good use for blackening bananas too.  I added blueberries. I had to sub some yellow cake mix because I was running low on flour but I just adjusted the sugar. Mine took 15 min in convection mode at 325 ', '           I loved this recipe. It was easy to make and the only adjustment I made was to add a bit of vanilla some cinnamon and increase the oven temperature to 350°, since I am in a high altitude.  I love that it does not have too much sugar in it and they really taste delicious. ', ""          I love this recipe! It's quick and easy with minimal mess. And they're delicious too! My 2 year old granddaughter loves them, too. "", '          I actually used 3 bananas. The recipe was easy to make with my son and turned out really light and fluffy. I will use this receipe again. ', '          This recipe is very easy to make and my family loves theses cookies.  I even used it to make muffins and took so to work. My coworkers enjoyed them. They always asking me to make them for them.❤️ ', '          LOVE LOVE these!! They are so light and fluffy and soooo easy to make. I made them a few days ago and about to make another batch right now. I made them 1 tablespoon each and they were still quite large. I will make them half the size this time around. Highly recommend! ', '           I just made this fluffy cookie for my toddler and I love it 💞 even with just 1 spoon of sugar.Easy to make and delicious! ', '          Absolutely delicious and so easy!!  These will be a regular at our house!  Thank you for sharing. ', '          Really good. Gave some to neighbors and now they want more! I added some peanut butter for additional taste and a little more protein. ']"
Easy Mango Banana Smoothie,"['          I love this recipe, I used plain Greek yogurt and sugar free caramel syrup instead of vanilla yogurt! It’s heavenly!!!Thank you ', '          it was quick to make me and my sister and grandmother really enjoyed it ! ', '          use', '          I did 1 cup of everything instead of 2 i also added honey into my smoothie best smoothie ever!!! Really enjoyed this one ', '          Great smoothie, I have been drinking these after workouts, and i have become very fond of them. ', '          I used frozen mangos and had to estimate the amount, but it was still delicious! ', '          Really tasty, no sugar! ', '          Used 1/2 a cup less milk and added 1-1/2 cups of crushed ice. ', '           I halved the recipe with one banana, one mango and used half silk vanilla yogurt and no milk. Added ice. It is delicious. ']"
Strawberry Banana Protein Smoothie,"['          I made this smoothie but alternated it a little', '           Delicious! ', '          Made exactly as described, but used vanilla protein powder instead of chocolate. Perfect, easy recipe using ingredients I had on hand already. ', '          OMG, I love this smoothie! I would make it everyday if I could. ', '           It was delicious i added a tablespoon and a half of orange juice to give it some flavor ', '          I didn’t have the almonds but the smoothie was amazing! It’s definitely going to become my go-to post-workout smoothie ', '          A delightful drink. I add heavy whipping cream to all my smoothies.  It makes them more frothy. ', '          All I did to change it was put somebody ice in. Pretty good. ', '          No, I did not make any changes. I followed every step, and it came out so delicious! Of course, I will make it again! I will also show all of my friends and family because I am sure they will love this delicious smoothie as much as I do! ']"
Baked Banana Chips,"['          Terrible! Would not recommend. They look nothing like the picture. ', '          Not at ALL like the picture. A food dehydrator may have worked. Mine were black, stuck and not even the texture of gummy worms. Lemon did not make bananas not turn brown. ', '          Banana chips can be heated or seared. Anyway heating may take somewhat more time than browning. Conjointly southern style banana chips taste magnificent.', '          The bananas stuck to the parchment paper really bad, and did not come out a golden color like the picture shown. Taste is not great either. ', ""          i made it , and the chips where crunchy, its just that i was dumb and didn't grease the paper. they stuck and i had to turn them to powder "", '          I made these and followed the instructions.  After 90 minutes I took them out to cool thinking they would firm up to be ""chips"", but they just stayed mushy.  Maybe I needed to bake them longer???? ', '           Not good. They looked like shriveled mushrooms and smell weird. ', '          Yes ', '           Recipe was terrible!!!! I started baking at 12:30 and their not done at 3:45 the ones that I cut paper thin aren’t crunchy at all. The middles of the slices are black. ']"
Porridge,"[""          I changed substituted the water wth milk, used brown sugar instead of white, and used apples instead of bananas.  I didn't add any salt and put a large knob of butter at the bottom of the bowl and the hot porridge on top.  For a twist you can grate an inch of ginger into it as well. "", '          It was better than expected! I thought it would be way too salty, so I just added a bit of brown sugar and it was amazing. I was freaking out that it wouldn’t work without bananas because I realized I didn’t have them, but any fruit works just fine (I used apples). It was warm and ooey-gooey and just altogether delicious! My mom, sister and me ate it gladly. 10/10 would recommend, I’ll be making it again soon!!! ', '           This is a nice hot breakfast cereal. I think the bananas would have been better mashed before they were cooked. I thought the recipe called for too much salt, so I used just a dash. I used a whole teaspoon of cinnamon. I added the golden raisins/sultanas as the submitter suggested, and they were a nice addition. I topped with almond milk. ', '          Amazing Porridge, but I recommend heating the milk up. ', '          Too salty.  I do not recommend this recipe. ', '          The porridge was much too salty. I recommend adding just a pinch or none at all. Next time I will not cook the bananas with the porridge but add after cooking.', ""          I used brown instead of white sugar and apples instead of bananas for an apple cinnamon flavoured porridge. It turned out pretty well but I have to say this: do NOT put salt in this!!! Nix the salt completely unless you're going for a savoury dish. The salt very nearly RUINED my porridge but I managed to make it palatable by adding heaps more sugar. In short, this recipe should be: 1 part oats to 2.5 parts water plus any flavouring you want. Heat and mix. "", ""          I made it and it was sooooo good! Instead of white sugar, however, I used stevia. Stevia is not only healthier, but more powerful, so it really gave it the bang it was missing. I'll def make this dish again. "", '           Turned out so well! :) thank you for sharing! ']"
